Data,Produto,Categoria,Vendedor,Quantidade,Preco_Unitario
01/03/2026,Cadeira Office,Móveis,Carlos,2,899.9
05/05/2026,Smartphone X,Eletrônicos,Lucas,3,2199.9
27/04/2026,Mouse Wireless,Acessórios,Rafael,3,129.9
26/02/2026,Webcam HD,Acessórios,Lucas,5,219.9
31/03/2026,Notebook Pro,Eletrônicos,Lucas,1,3499.9
26/03/2026,Mesa Escritório,Móveis,Amanda,4,749.9
27/06/2026,Webcam HD,Acessórios,Lucas,2,219.9
29/04/2026,Teclado Mecânico,Acessórios,Beatriz,1,349.9
08/03/2026,Cadeira Office,Móveis,Lucas,3,899.9
26/07/2026,Cadeira Office,Móveis,Beatriz,2,899.9
14/01/2026,Webcam HD,Acessórios,Lucas,5,219.9
20/01/2026,Mesa Escritório,Móveis,Lucas,1,749.9
18/02/2026,Luminária LED,Casa,Rafael,1,119.9
05/05/2026,Webcam HD,Acessórios,Amanda,4,219.9
31/03/2026,Monitor 27,Eletrônicos,Carlos,3,1299.9
27/08/2026,Cadeira Office,Móveis,Rafael,2,899.9
07/01/2026,Mesa Escritório,Móveis,Beatriz,5,749.9
23/01/2026,Cadeira Office,Móveis,Rafael,3,899.9
09/01/2026,Teclado Mecânico,Acessórios,Lucas,3,349.9
04/06/2026,Mesa Escritório,Móveis,Beatriz,1,749.9
19/03/2026,Mesa Escritório,Móveis,Beatriz,1,749.9
07/05/2026,Mesa Escritório,Móveis,Beatriz,1,749.9
13/06/2026,Webcam HD,Acessórios,Carlos,4,219.9
16/01/2026,Mesa Escritório,Móveis,Carlos,5,749.9
10/02/2026,Monitor 27,Eletrônicos,Lucas,2,1299.9
24/03/2026,Headset Gamer,Acessórios,Amanda,2,279.9
01/04/2026,Notebook Pro,Eletrônicos,Carlos,1,3499.9
11/07/2026,Luminária LED,Casa,Lucas,2,119.9
13/01/2026,Notebook Pro,Eletrônicos,Rafael,2,3499.9
14/04/2026,Headset Gamer,Acessórios,Rafael,5,279.9
26/04/2026,Notebook Pro,Eletrônicos,Carlos,2,3499.9
08/06/2026,Notebook Pro,Eletrônicos,Amanda,2,3499.9
04/04/2026,Mesa Escritório,Móveis,Amanda,4,749.9
03/06/2026,Teclado Mecânico,Acessórios,Rafael,3,349.9
21/06/2026,Headset Gamer,Acessórios,Beatriz,2,279.9
27/03/2026,Teclado Mecânico,Acessórios,Rafael,5,349.9
26/08/2026,Luminária LED,Casa,Rafael,1,119.9
15/05/2026,Monitor 27,Eletrônicos,Beatriz,1,1299.9
27/02/2026,Monitor 27,eletrônicos,Amanda,4,1299.9
24/01/2026,Cadeira Office,Móveis,Lucas,5,899.9
03/03/2026,Headset Gamer,Acessórios,Rafael,4,279.9
25/04/2026,Cadeira Office,Móveis,Amanda,1,899.9
11/02/2026,Teclado Mecânico,Acessórios,Beatriz,5,349.9
01/05/2026,Monitor 27,Eletrônicos,Amanda,5,1299.9
18/01/2026,Mouse Wireless,Acessórios,Amanda,3,129.9
22/05/2026,Luminária LED,Casa,Lucas,5,119.9
16/04/2026,Webcam HD,Acessórios,Beatriz,1,219.9
15/03/2026,Cadeira Office,Móveis,Beatriz,5,899.9
13/03/2026,Headset Gamer,Acessórios,Amanda,3,279.9
19/02/2026,Smartphone X,Eletrônicos,Lucas,4,2199.9
17/07/2026,Mouse Wireless,Acessórios,Rafael,1,129.9
09/02/2026,Cadeira Office,Móveis,Lucas,3,899.9
25/08/2026,Teclado Mecânico,Acessórios,Carlos,2,349.9
28/02/2026,Teclado Mecânico,Acessórios,Rafael,2,349.9
08/05/2026,Mouse Wireless,Acessórios,Carlos,2,129.9
03/05/2026,Notebook Pro,Eletrônicos,Beatriz,4,3499.9
27/04/2026,Teclado Mecânico,Acessórios,Rafael,2,349.9
26/07/2026,Luminária LED,Casa,Carlos,4,119.9
25/04/2026,Mesa Escritório,Móveis,Lucas,4,749.9
09/08/2026,Notebook Pro,Eletrônicos,Amanda,2,3499.9
24/06/2026,Cadeira Office,Móveis,Carlos,5,899.9
29/07/2026,Monitor 27,Eletrônicos,Lucas,3,1299.9
05/06/2026,Webcam HD,Acessórios,Carlos,5,219.9
15/02/2026,Notebook Pro,Eletrônicos,Rafael,4,3499.9
14/07/2026,Notebook Pro,Eletrônicos,Lucas,4,3499.9
10/02/2026,Mesa Escritório,Móveis,Amanda,5,749.9
31/08/2026,Mouse Wireless,Acessórios,Carlos,1,129.9
18/04/2026,Monitor 27,Eletrônicos,Carlos,5,1299.9
15/04/2026,Smartphone X,Eletrônicos,Lucas,1,2199.9
15/01/2026,Mouse Wireless,Acessórios,Carlos,5,129.9
09/03/2026,Smartphone X,Eletrônicos,Amanda,2,2199.9
01/06/2026,Monitor 27,Eletrônicos,Beatriz,1,1299.9
06/08/2026,Monitor 27,Eletrônicos,Lucas,1,1299.9
07/02/2026,Mesa Escritório,Móveis,Beatriz,2,749.9
29/06/2026,Headset Gamer,Acessórios,Beatriz,3,279.9
15/05/2026,Cadeira Office,Móveis,Carlos,5,899.9
07/08/2026,Mouse Wireless,Acessórios,Rafael,1,129.9
08/04/2026,Mouse Wireless,Acessórios,Carlos,3,129.9
08/01/2026,Headset Gamer,Acessórios,Beatriz,3,279.9
02/08/2026,Monitor 27,Eletrônicos,Beatriz,5,1299.9
21/07/2026,Smartphone X,Eletrônicos,Carlos,2,2199.9
26/07/2026,Mouse Wireless,Acessórios,Lucas,2,129.9
24/08/2026,Cadeira Office,Móveis,Lucas,5,899.9
27/02/2026,Mouse Wireless,Acessórios,Lucas,2,129.9
27/05/2026,Mouse Wireless,Acessórios,Beatriz,2,129.9
27/04/2026,Webcam HD,Acessórios,Rafael,5,219.9
01/01/2026,Notebook Pro,Eletrônicos,Rafael,2,3499.9
07/08/2026,Webcam HD,Acessórios,Beatriz,1,219.9
01/01/2026,Webcam HD,Acessórios,Carlos,3,219.9
10/01/2026,Cadeira Office,Móveis,Rafael,2,899.9
23/06/2026,Headset Gamer,Acessórios,Carlos,4,279.9
27/03/2026,Teclado Mecânico,Acessórios,Rafael,5,349.9
07/06/2026,Smartphone X,Eletrônicos,Carlos,3,2199.9
25/01/2026,Headset Gamer,Acessórios,Carlos,4,279.9
11/05/2026,Luminária LED,Casa,Lucas,1,119.9
21/02/2026,Mouse Wireless,Acessórios,Beatriz,3,129.9
28/06/2026,Teclado Mecânico,Acessórios,Lucas ,4,349.9
27/05/2026,Mouse Wireless,Acessórios,Beatriz,2,129.9
29/03/2026,Cadeira Office,Móveis,Lucas,3,899.9
03/02/2026,Teclado Mecânico,Acessórios,Rafael,1,349.9
22/03/2026,Mouse Wireless,Acessórios,Amanda,5,129.9
18/07/2026,Mouse Wireless,Acessórios,Carlos,4,129.9
14/01/2026,Teclado Mecânico,Acessórios,Beatriz,3,349.9
27/08/2026,Headset Gamer,Acessórios,Amanda,4,279.9
29/04/2026,Mouse Wireless,Acessórios,Rafael,4,129.9
08/03/2026,Cadeira Office,Móveis,Lucas,3,899.9
02/02/2026,Monitor 27,Eletrônicos,Rafael,5,1299.9
16/05/2026,Luminária LED,Casa,Rafael,4,119.9
21/03/2026,Headset Gamer,Acessórios,Beatriz,2,279.9
02/07/2026,Headset Gamer,Acessórios,Amanda,5,279.9
01/07/2026,Mouse Wireless,Acessórios,Lucas,3,129.9
09/06/2026,Headset Gamer,Acessórios,Beatriz,4,279.9
07/06/2026,Monitor 27,Eletrônicos,Carlos,5,1299.9
04/04/2026,Smartphone X,Eletrônicos,Rafael,3,2199.9
24/01/2026,Mesa Escritório,Móveis,Beatriz,5,749.9
16/07/2026,Teclado Mecânico,Acessórios,Rafael,1,349.9
24/03/2026,Monitor 27,Eletrônicos,Carlos,2,1299.9
29/08/2026,Webcam HD,Acessórios,Rafael,1,219.9
26/07/2026,Mouse Wireless,Acessórios,Beatriz,5,129.9
30/04/2026,Mesa Escritório,Móveis,Beatriz,1,749.9
21/05/2026,Smartphone X,Eletrônicos,Carlos,5,2199.9
07/01/2026,Monitor 27,Eletrônicos,Rafael,2,1299.9
15/07/2026,Headset Gamer,Acessórios,Lucas,5,279.9
16/05/2026,Cadeira Office,Móveis,Rafael,5,899.9
26/02/2026,Notebook Pro,Eletrônicos,Beatriz,5,3499.9
07/04/2026,Luminária LED,Casa,Lucas,2,119.9
16/06/2026,Notebook Pro,Eletrônicos,Carlos,1,3499.9
19/03/2026,Notebook Pro,Eletrônicos,Beatriz,1,3499.9
02/04/2026,Monitor 27,Eletrônicos,Rafael,5,1299.9
09/08/2026,Headset Gamer,Acessórios,Amanda,3,279.9
15/04/2026,Webcam HD,Acessórios,Rafael,5,219.9
19/04/2026,Mouse Wireless,Acessórios,Amanda,5,129.9
30/07/2026,Webcam HD,Acessórios,Beatriz,1,219.9
28/08/2026,Mesa Escritório,Móveis,Amanda,5,749.9
27/03/2026,Mouse Wireless,Acessórios,Lucas,1,129.9
18/06/2026,Notebook Pro,Eletrônicos,Carlos,4,3499.9
11/08/2026,Luminária LED,Casa,Beatriz,5,119.9
22/04/2026,Cadeira Office,Móveis,Carlos,3,899.9
31/05/2026,Mouse Wireless,Acessórios,Rafael,1,129.9
04/07/2026,Notebook Pro,Eletrônicos,Rafael,5,3499.9
18/03/2026,Mesa Escritório,Móveis,Amanda,2,749.9
24/01/2026,Notebook Pro,Eletrônicos,Lucas,2,3499.9
02/03/2026,Smartphone X,Eletrônicos,Amanda,2,2199.9
20/07/2026,Cadeira Office,Móveis,Rafael,3,899.9
30/08/2026,Monitor 27,Eletrônicos,Carlos,2,1299.9
01/01/2026,Webcam HD,Acessórios,Carlos,5,219.9
15/03/2026,Notebook Pro,Eletrônicos,Beatriz,2,3499.9
28/05/2026,Teclado Mecânico,Acessórios,Beatriz,4,349.9
20/04/2026,Luminária LED,Casa,Carlos,4,119.9
12/04/2026,Notebook Pro,Eletrônicos,Carlos,3,3499.9
19/06/2026,Teclado Mecânico,Acessórios,Carlos,3,349.9
12/08/2026,Headset Gamer,Acessórios,Beatriz ,1,279.9
11/05/2026,Teclado Mecânico,Acessórios,Rafael,4,349.9
23/07/2026,Teclado Mecânico,,Rafael,5,349.9
16/05/2026,Teclado Mecânico,Acessórios,Carlos,4,349.9
13/07/2026,Smartphone X,Eletrônicos,Carlos,1,2199.9
29/04/2026,Webcam HD,Acessórios,Carlos,5,219.9
25/04/2026,Mesa Escritório,Móveis,Lucas,4,749.9
05/06/2026,Cadeira Office,Móveis,Beatriz,4,899.9
24/04/2026,Monitor 27,Eletrônicos,Carlos,1,1299.9
20/05/2026,Headset Gamer,Acessórios,Rafael,1,279.9
08/08/2026,Teclado Mecânico,Acessórios,Lucas,2,349.9
30/01/2026,Cadeira Office,Móveis,Amanda,4,899.9
02/03/2026,Monitor 27,Eletrônicos,Carlos,2,1299.9
01/08/2026,Monitor 27,Eletrônicos,Carlos,2,1299.9
07/08/2026,Headset Gamer,Acessórios,Lucas,1,279.9
07/08/2026,Headset Gamer,Acessórios,Carlos,4,279.9
22/07/2026,Smartphone X,Eletrônicos,Beatriz,5,2199.9
20/05/2026,Mesa Escritório,Móveis,Carlos,5,749.9
03/05/2026,Webcam HD,Acessórios,Amanda,3,219.9
10/07/2026,Mouse Wireless,Acessórios,Carlos,5,129.9
21/04/2026,Headset Gamer,Acessórios,Amanda,3,279.9
17/03/2026,Luminária LED,Casa,Rafael,1,119.9
05/02/2026,Mouse Wireless,Acessórios,Amanda,5,129.9
21/08/2026,Cadeira Office,Móveis,Beatriz,3,899.9
17/06/2026,Smartphone X,Eletrônicos,Amanda,1,2199.9
25/01/2026,Webcam HD,Acessórios,Rafael,2,219.9
21/03/2026,Notebook Pro,Eletrônicos,Beatriz,1,3499.9
09/08/2026,Webcam HD,Acessórios,Amanda,4,219.9
09/04/2026,Mouse Wireless,Acessórios,Amanda,3,129.9
12/07/2026,Teclado Mecânico,Acessórios,Beatriz,4,349.9
21/05/2026,Webcam HD,Acessórios,Amanda,3,219.9
28/01/2026,Luminária LED,Casa,Beatriz,5,119.9
28/07/2026,Webcam HD,Acessórios,Carlos,1,219.9
06/03/2026,Luminária LED,Casa,Amanda,1,119.9
16/05/2026,Mouse Wireless,Acessórios,Beatriz,5,129.9
01/04/2026,Headset Gamer,Acessórios,Lucas,3,279.9
08/03/2026,Notebook Pro,Eletrônicos,Beatriz,3,3499.9
03/07/2026,Mouse Wireless,Acessórios,Carlos,4,129.9
13/06/2026,Teclado Mecânico,Acessórios,Beatriz,3,349.9
22/05/2026,Cadeira Office,Móveis,Carlos,3,899.9
17/02/2026,Headset Gamer,,Amanda,3,279.9
20/01/2026,Cadeira Office,Móveis,Rafael,2,899.9
05/03/2026,Monitor 27,Eletrônicos,Lucas,2,1299.9
23/02/2026,Headset Gamer,Acessórios,Lucas,1,279.9
04/04/2026,Mouse Wireless,Acessórios,Beatriz,1,129.9
02/02/2026,Notebook Pro,Eletrônicos,Carlos,5,3499.9
09/04/2026,Webcam HD,Acessórios,Lucas,4,219.9
30/08/2026,Monitor 27,Eletrônicos,Lucas,5,1299.9
24/02/2026,Cadeira Office,Móveis,Carlos,2,899.9
13/03/2026,Headset Gamer,Acessórios,Lucas,2,279.9
09/04/2026,Monitor 27,Eletrônicos,Beatriz,5,1299.9
20/08/2026,Webcam HD,Acessórios,Amanda,2,219.9
28/01/2026,Notebook Pro,Eletrônicos,Carlos,4,3499.9
